x,y
0.00000, 1.00000
0.02225, 0.98499
0.04451, 0.96941
0.06676, 0.95328
0.08901, 0.93661
0.11126, 0.91943
0.13352, 0.90175
0.15577, 0.88359
0.17802, 0.86496
0.20028, 0.84587
0.22253, 0.82636
0.24478, 0.80644
0.26704, 0.78612
0.28929, 0.76542
0.31154, 0.74436
0.33379, 0.72296
0.35605, 0.70123
0.37830, 0.67920
0.40055, 0.65688
0.42281, 0.63430
0.44506, 0.61146
0.46731, 0.58839
0.48956, 0.56511
0.51182, 0.54164
0.53407, 0.51798
0.55632, 0.49417
0.57858, 0.47022
0.60083, 0.44615
0.62308, 0.42197
0.64534, 0.39771
0.66759, 0.37338
0.68984, 0.34901
0.71209, 0.32460
0.73435, 0.30017
0.75660, 0.27575
0.77885, 0.25135
0.80111, 0.22699
0.82336, 0.20268
0.84561, 0.17845
0.86786, 0.15430
0.89012, 0.13026
0.91237, 0.10634
0.93462, 0.08255
0.95688, 0.05892
0.97913, 0.03545
1.00138, 0.01217
1.02364,-0.01092
1.04589,-0.03379
1.06814,-0.05644
1.09039,-0.07885
1.11265,-0.10100
1.13490,-0.12288
1.15715,-0.14448
1.17941,-0.16579
1.20166,-0.18679
1.22391,-0.20748
1.24616,-0.22783
1.26842,-0.24784
1.29067,-0.26750
1.31292,-0.28679
1.33518,-0.30571
1.35743,-0.32424
1.37968,-0.34238
1.40194,-0.36012
1.42419,-0.37744
1.44644,-0.39434
1.46869,-0.41081
1.49095,-0.42685
1.51320,-0.44243
1.53545,-0.45757
1.55771,-0.47225
1.57996,-0.48646
1.60221,-0.50020
1.62446,-0.51347
1.64672,-0.52625
1.66897,-0.53854
1.69122,-0.55035
1.71348,-0.56165
1.73573,-0.57246
1.75798,-0.58277
1.78024,-0.59257
1.80249,-0.60187
1.82474,-0.61065
1.84699,-0.61893
1.86925,-0.62669
1.89150,-0.63393
1.91375,-0.64067
1.93601,-0.64689
1.95826,-0.65259
1.98051,-0.65778
2.00276,-0.66246
2.02502,-0.66662
2.04727,-0.67028
2.06952,-0.67343
2.09178,-0.67607
2.11403,-0.67820
2.13628,-0.67984
2.15854,-0.68098
2.18079,-0.68163
2.20304,-0.68178
2.22529,-0.68146
2.24755,-0.68065
2.26980,-0.67936
2.29205,-0.67760
2.31431,-0.67538
2.33656,-0.67270
2.35881,-0.66956
2.38106,-0.66598
2.40332,-0.66196
2.42557,-0.65750
2.44782,-0.65261
2.47008,-0.64730
2.49233,-0.64159
2.51458,-0.63546
2.53684,-0.62894
2.55909,-0.62203
2.58134,-0.61474
2.60359,-0.60708
2.62585,-0.59906
2.64810,-0.59068
2.67035,-0.58196
2.69261,-0.57290
2.71486,-0.56351
2.73711,-0.55381
2.75937,-0.54380
2.78162,-0.53349
2.80387,-0.52290
2.82612,-0.51202
2.84838,-0.50088
2.87063,-0.48949
2.89288,-0.47784
2.91514,-0.46597
2.93739,-0.45386
2.95964,-0.44154
2.98189,-0.42902
3.00415,-0.41630
3.02640,-0.40340
3.04865,-0.39033
3.07091,-0.37710
3.09316,-0.36371
3.11541,-0.35019
3.13767,-0.33654
3.15992,-0.32277
3.18217,-0.30889
3.20442,-0.29491
3.22668,-0.28085
3.24893,-0.26672
3.27118,-0.25252
3.29344,-0.23827
3.31569,-0.22398
3.33794,-0.20965
3.36019,-0.19530
3.38245,-0.18094
3.40470,-0.16658
3.42695,-0.15223
3.44921,-0.13789
3.47146,-0.12359
3.49371,-0.10932
3.51596,-0.09511
3.53822,-0.08095
3.56047,-0.06686
3.58272,-0.05285
3.60498,-0.03892
3.62723,-0.02509
3.64948,-0.01137
3.67174, 0.00225
3.69399, 0.01574
3.71624, 0.02910
3.73849, 0.04232
3.76075, 0.05539
3.78300, 0.06831
3.80525, 0.08106
3.82751, 0.09364
3.84976, 0.10605
3.87201, 0.11827
3.89427, 0.13030
3.91652, 0.14213
3.93877, 0.15375
3.96102, 0.16516
3.98328, 0.17636
4.00553, 0.18733
4.02778, 0.19806
4.05004, 0.20857
4.07229, 0.21883
4.09454, 0.22884
4.11679, 0.23861
4.13905, 0.24812
4.16130, 0.25736
4.18355, 0.26635
4.20581, 0.27506
4.22806, 0.28350
4.25031, 0.29167
4.27256, 0.29956
4.29482, 0.30716
4.31707, 0.31448
4.33932, 0.32151
4.36158, 0.32825
4.38383, 0.33470
4.40608, 0.34085
4.42834, 0.34670
4.45059, 0.35226
4.47284, 0.35752
4.49509, 0.36248
4.51735, 0.36713
4.53960, 0.37149
4.56185, 0.37554
4.58411, 0.37929
4.60636, 0.38274
4.62861, 0.38588
4.65087, 0.38873
4.67312, 0.39127
4.69537, 0.39351
4.71762, 0.39545
4.73988, 0.39710
4.76213, 0.39845
4.78438, 0.39950
4.80664, 0.40026
4.82889, 0.40073
4.85114, 0.40091
4.87339, 0.40081
4.89565, 0.40042
4.91790, 0.39975
4.94015, 0.39880
4.96241, 0.39758
4.98466, 0.39608
5.00691, 0.39432
5.02917, 0.39229
5.05142, 0.39001
5.07367, 0.38746
5.09592, 0.38467
5.11818, 0.38162
5.14043, 0.37834
5.16268, 0.37481
5.18494, 0.37105
5.20719, 0.36705
5.22944, 0.36284
5.25169, 0.35840
5.27395, 0.35374
5.29620, 0.34888
5.31845, 0.34381
5.34071, 0.33855
5.36296, 0.33309
5.38521, 0.32744
5.40747, 0.32161
5.42972, 0.31560
5.45197, 0.30942
5.47422, 0.30308
5.49648, 0.29658
5.51873, 0.28992
5.54098, 0.28312
5.56324, 0.27618
5.58549, 0.26910
5.60774, 0.26189
5.62999, 0.25457
5.65225, 0.24712
5.67450, 0.23957
5.69675, 0.23191
5.71901, 0.22416
5.74126, 0.21632
5.76351, 0.20839
5.78577, 0.20038
5.80802, 0.19231
5.83027, 0.18417
5.85252, 0.17597
5.87478, 0.16771
5.89703, 0.15941
5.91928, 0.15108
