x,y
0.00000, 0.00000
0.02513,-0.07755
0.05027,-0.15474
0.07540,-0.23151
0.10053,-0.30783
0.12566,-0.38363
0.15080,-0.45888
0.17593,-0.53353
0.20106,-0.60753
0.22619,-0.68083
0.25133,-0.75340
0.27646,-0.82519
0.30159,-0.89615
0.32673,-0.96624
0.35186,-1.03543
0.37699,-1.10366
0.40212,-1.17090
0.42726,-1.23711
0.45239,-1.30226
0.47752,-1.36629
0.50265,-1.42919
0.52779,-1.49090
0.55292,-1.55140
0.57805,-1.61065
0.60319,-1.66862
0.62832,-1.72527
0.65345,-1.78058
0.67858,-1.83451
0.70372,-1.88704
0.72885,-1.93814
0.75398,-1.98777
0.77911,-2.03592
0.80425,-2.08256
0.82938,-2.12767
0.85451,-2.17121
0.87965,-2.21318
0.90478,-2.25355
0.92991,-2.29230
0.95504,-2.32942
0.98018,-2.36488
1.00531,-2.39867
1.03044,-2.43077
1.05557,-2.46118
1.08071,-2.48988
1.10584,-2.51685
1.13097,-2.54210
1.15611,-2.56560
1.18124,-2.58736
1.20637,-2.60736
1.23150,-2.62560
1.25664,-2.64208
1.28177,-2.65679
1.30690,-2.66973
1.33204,-2.68091
1.35717,-2.69031
1.38230,-2.69795
1.40743,-2.70383
1.43257,-2.70795
1.45770,-2.71031
1.48283,-2.71092
1.50796,-2.70980
1.53310,-2.70694
1.55823,-2.70236
1.58336,-2.69607
1.60850,-2.68808
1.63363,-2.67841
1.65876,-2.66706
1.68389,-2.65406
1.70903,-2.63941
1.73416,-2.62315
1.75929,-2.60527
1.78442,-2.58581
1.80956,-2.56478
1.83469,-2.54221
1.85982,-2.51811
1.88496,-2.49252
1.91009,-2.46544
1.93522,-2.43692
1.96035,-2.40697
1.98549,-2.37561
2.01062,-2.34289
2.03575,-2.30881
2.06088,-2.27342
2.08602,-2.23675
2.11115,-2.19881
2.13628,-2.15965
2.16142,-2.11930
2.18655,-2.07778
2.21168,-2.03513
2.23681,-1.99139
2.26195,-1.94658
2.28708,-1.90074
2.31221,-1.85391
2.33734,-1.80613
2.36248,-1.75742
2.38761,-1.70782
2.41274,-1.65738
2.43788,-1.60612
2.46301,-1.55410
2.48814,-1.50133
2.51327,-1.44787
2.53841,-1.39375
2.56354,-1.33901
2.58867,-1.28368
2.61380,-1.22782
2.63894,-1.17145
2.66407,-1.11462
2.68920,-1.05737
2.71434,-0.99973
2.73947,-0.94175
2.76460,-0.88346
2.78973,-0.82491
2.81487,-0.76614
2.84000,-0.70718
2.86513,-0.64807
2.89026,-0.58886
2.91540,-0.52958
2.94053,-0.47028
2.96566,-0.41099
2.99080,-0.35175
3.01593,-0.29260
3.04106,-0.23358
3.06619,-0.17472
3.09133,-0.11607
3.11646,-0.05766
3.14159, 0.00047
3.16672, 0.05828
3.19186, 0.11574
3.21699, 0.17281
3.24212, 0.22946
3.26726, 0.28565
3.29239, 0.34134
3.31752, 0.39651
3.34265, 0.45111
3.36779, 0.50512
3.39292, 0.55851
3.41805, 0.61123
3.44318, 0.66327
3.46832, 0.71458
3.49345, 0.76515
3.51858, 0.81493
3.54372, 0.86391
3.56885, 0.91205
3.59398, 0.95932
3.61911, 1.00571
3.64425, 1.05118
3.66938, 1.09571
3.69451, 1.13927
3.71965, 1.18185
3.74478, 1.22342
3.76991, 1.26395
3.79504, 1.30343
3.82018, 1.34183
3.84531, 1.37914
3.87044, 1.41534
3.89557, 1.45041
3.92071, 1.48433
3.94584, 1.51709
3.97097, 1.54867
3.99610, 1.57906
4.02124, 1.60825
4.04637, 1.63622
4.07150, 1.66296
4.09664, 1.68846
4.12177, 1.71271
4.14690, 1.73570
4.17203, 1.75743
4.19717, 1.77789
4.22230, 1.79707
4.24743, 1.81496
4.27257, 1.83156
4.29770, 1.84688
4.32283, 1.86090
4.34796, 1.87362
4.37310, 1.88505
4.39823, 1.89518
4.42336, 1.90402
4.44849, 1.91156
4.47363, 1.91782
4.49876, 1.92279
4.52389, 1.92648
4.54903, 1.92889
4.57416, 1.93003
4.59929, 1.92991
4.62442, 1.92853
4.64956, 1.92591
4.67469, 1.92205
4.69982, 1.91697
4.72495, 1.91067
4.75009, 1.90316
4.77522, 1.89447
4.80035, 1.88460
4.82549, 1.87357
4.85062, 1.86139
4.87575, 1.84808
4.90088, 1.83365
4.92602, 1.81812
4.95115, 1.80151
4.97628, 1.78384
5.00141, 1.76512
5.02655, 1.74538
5.05168, 1.72463
5.07681, 1.70290
5.10195, 1.68021
5.12708, 1.65657
5.15221, 1.63202
5.17734, 1.60656
5.20248, 1.58024
5.22761, 1.55307
5.25274, 1.52507
5.27787, 1.49626
5.30301, 1.46669
5.32814, 1.43636
5.35327, 1.40531
5.37841, 1.37356
5.40354, 1.34113
5.42867, 1.30806
5.45380, 1.27438
5.47894, 1.24010
5.50407, 1.20525
5.52920, 1.16987
5.55433, 1.13398
5.57947, 1.09761
5.60460, 1.06079
5.62973, 1.02354
5.65487, 0.98590
5.68000, 0.94789
5.70513, 0.90954
5.73026, 0.87088
5.75540, 0.83194
5.78053, 0.79274
5.80566, 0.75333
5.83079, 0.71371
5.85593, 0.67393
5.88106, 0.63402
5.90619, 0.59399
5.93133, 0.55388
5.95646, 0.51372
5.98159, 0.47353
6.00672, 0.43334
6.03186, 0.39319
6.05699, 0.35309
6.08212, 0.31308
6.10725, 0.27318
6.13239, 0.23341
6.15752, 0.19382
6.18265, 0.15441
6.20779, 0.11522
6.23292, 0.07627
6.25805, 0.03759
6.28318,-0.00080
6.30832,-0.03887
6.33345,-0.07661
6.35858,-0.11398
6.38372,-0.15096
6.40885,-0.18753
6.43398,-0.22367
6.45911,-0.25936
6.48425,-0.29457
6.50938,-0.32929
6.53451,-0.36349
6.55964,-0.39715
6.58478,-0.43026
6.60991,-0.46280
6.63504,-0.49475
6.66018,-0.52608
6.68531,-0.55679
6.71044,-0.58686
6.73557,-0.61627
6.76071,-0.64501
6.78584,-0.67306
6.81097,-0.70041
6.83610,-0.72704
6.86124,-0.75294
6.88637,-0.77811
6.91150,-0.80252
6.93664,-0.82617
6.96177,-0.84904
6.98690,-0.87114
7.01203,-0.89244
7.03717,-0.91295
7.06230,-0.93264
7.08743,-0.95153
7.11256,-0.96959
7.13770,-0.98683
7.16283,-1.00324
7.18796,-1.01881
7.21310,-1.03354
7.23823,-1.04743
7.26336,-1.06048
7.28849,-1.07268
7.31363,-1.08404
7.33876,-1.09454
7.36389,-1.10420
7.38902,-1.11302
7.41416,-1.12099
7.43929,-1.12812
7.46442,-1.13440
7.48956,-1.13985
7.51469,-1.14447
7.53982,-1.14826
7.56495,-1.15123
7.59009,-1.15338
7.61522,-1.15471
7.64035,-1.15525
7.66548,-1.15499
7.69062,-1.15394
7.71575,-1.15210
7.74088,-1.14950
7.76602,-1.14614
7.79115,-1.14202
7.81628,-1.13716
7.84141,-1.13158
7.86655,-1.12527
7.89168,-1.11826
7.91681,-1.11055
7.94194,-1.10216
7.96708,-1.09310
7.99221,-1.08339
8.01734,-1.07303
8.04248,-1.06205
8.06761,-1.05046
8.09274,-1.03827
8.11787,-1.02550
8.14301,-1.01217
8.16814,-0.99829
8.19327,-0.98387
8.21840,-0.96893
8.24354,-0.95350
8.26867,-0.93759
8.29380,-0.92120
8.31894,-0.90438
8.34407,-0.88712
8.36920,-0.86945
8.39433,-0.85139
8.41947,-0.83295
8.44460,-0.81415
8.46973,-0.79502
8.49486,-0.77557
8.52000,-0.75581
8.54513,-0.73578
8.57026,-0.71548
8.59540,-0.69493
8.62053,-0.67416
8.64566,-0.65318
8.67079,-0.63202
8.69593,-0.61068
8.72106,-0.58920
8.74619,-0.56758
8.77133,-0.54586
8.79646,-0.52403
8.82159,-0.50213
8.84672,-0.48018
8.87186,-0.45819
8.89699,-0.43617
8.92212,-0.41415
8.94725,-0.39215
8.97239,-0.37018
8.99752,-0.34826
9.02265,-0.32641
9.04778,-0.30465
9.07292,-0.28298
9.09805,-0.26143
9.12318,-0.24002
9.14832,-0.21875
9.17345,-0.19765
9.19858,-0.17674
9.22371,-0.15601
9.24885,-0.13550
9.27398,-0.11522
9.29911,-0.09517
9.32425,-0.07538
9.34938,-0.05585
9.37451,-0.03661
9.39964,-0.01765
9.42478, 0.00099
9.44991, 0.01933
9.47504, 0.03733
9.50017, 0.05500
9.52531, 0.07231
9.55044, 0.08927
9.57557, 0.10586
9.60071, 0.12207
9.62584, 0.13789
9.65097, 0.15331
9.67610, 0.16833
9.70124, 0.18293
9.72637, 0.19712
9.75150, 0.21088
9.77663, 0.22421
9.80177, 0.23710
9.82690, 0.24954
9.85203, 0.26154
9.87717, 0.27309
9.90230, 0.28418
9.92743, 0.29481
9.95256, 0.30497
9.97770, 0.31467
10.00283, 0.32391
10.02796, 0.33267
10.05309, 0.34097
10.07823, 0.34879
10.10336, 0.35614
10.12849, 0.36302
10.15363, 0.36943
10.17876, 0.37537
10.20389, 0.38085
10.22902, 0.38586
10.25416, 0.39040
10.27929, 0.39449
10.30442, 0.39812
10.32955, 0.40130
10.35469, 0.40403
10.37982, 0.40631
10.40495, 0.40816
10.43009, 0.40957
10.45522, 0.41055
10.48035, 0.41111
10.50548, 0.41126
10.53062, 0.41100
10.55575, 0.41034
10.58088, 0.40928
10.60601, 0.40784
10.63115, 0.40602
10.65628, 0.40383
10.68141, 0.40128
10.70655, 0.39838
10.73168, 0.39514
10.75681, 0.39156
10.78194, 0.38766
10.80708, 0.38346
10.83221, 0.37895
10.85734, 0.37415
10.88247, 0.36907
10.90761, 0.36372
10.93274, 0.35811
