x,y
0.00000, 0.00000
0.05236,-0.01227
0.10472,-0.02262
0.15708,-0.03112
0.20944,-0.03783
0.26180,-0.04283
0.31416,-0.04618
0.36652,-0.04796
0.41888,-0.04825
0.47124,-0.04711
0.52359,-0.04462
0.57595,-0.04087
0.62831,-0.03592
0.68067,-0.02986
0.73303,-0.02276
0.78539,-0.01471
0.83775,-0.00578
0.89011, 0.00393
0.94247, 0.01436
0.99483, 0.02542
1.04719, 0.03703
1.09955, 0.04910
1.15191, 0.06156
1.20427, 0.07432
1.25663, 0.08730
1.30899, 0.10043
1.36135, 0.11363
1.41371, 0.12681
1.46607, 0.13991
1.51843, 0.15284
1.57078, 0.16554
1.62314, 0.17793
1.67550, 0.18995
1.72786, 0.20152
1.78022, 0.21259
1.83258, 0.22309
1.88494, 0.23296
1.93730, 0.24216
1.98966, 0.25061
2.04202, 0.25829
2.09438, 0.26514
2.14674, 0.27113
2.19910, 0.27621
2.25146, 0.28036
2.30382, 0.28354
2.35618, 0.28574
2.40854, 0.28694
2.46090, 0.28713
2.51326, 0.28629
2.56562, 0.28442
2.61797, 0.28153
2.67033, 0.27762
2.72269, 0.27271
2.77505, 0.26680
2.82741, 0.25993
2.87977, 0.25211
2.93213, 0.24337
2.98449, 0.23374
3.03685, 0.22327
3.08921, 0.21199
3.14157, 0.19994
3.19393, 0.18717
3.24629, 0.17373
3.29865, 0.15966
3.35101, 0.14503
3.40337, 0.12989
3.45573, 0.11429
3.50809, 0.09829
3.56045, 0.08196
3.61281, 0.06535
3.66516, 0.04852
3.71752, 0.03154
3.76988, 0.01448
3.82224,-0.00262
3.87460,-0.01968
3.92696,-0.03663
3.97932,-0.05342
4.03168,-0.06998
4.08404,-0.08626
4.13640,-0.10218
4.18876,-0.11769
4.24112,-0.13272
4.29348,-0.14723
4.34584,-0.16115
4.39820,-0.17442
4.45056,-0.18700
4.50292,-0.19884
4.55528,-0.20989
4.60764,-0.22010
4.66000,-0.22943
4.71236,-0.23784
4.76471,-0.24530
4.81707,-0.25179
4.86943,-0.25726
4.92179,-0.26170
4.97415,-0.26509
5.02651,-0.26742
5.07887,-0.26867
5.13123,-0.26884
5.18359,-0.26794
5.23595,-0.26596
5.28831,-0.26292
5.34067,-0.25883
5.39303,-0.25370
5.44539,-0.24756
5.49775,-0.24044
5.55011,-0.23236
5.60247,-0.22336
5.65483,-0.21348
5.70719,-0.20276
5.75954,-0.19124
5.81190,-0.17898
5.86426,-0.16601
5.91662,-0.15239
5.96898,-0.13818
6.02134,-0.12344
6.07370,-0.10821
6.12606,-0.09257
6.17842,-0.07657
6.23078,-0.06027
6.28314,-0.04373
6.33550,-0.02703
6.38786,-0.01022
6.44022, 0.00663
6.49258, 0.02345
6.54494, 0.04019
6.59730, 0.05678
6.64966, 0.07316
6.70202, 0.08925
6.75438, 0.10500
6.80674, 0.12035
6.85909, 0.13524
6.91145, 0.14961
6.96381, 0.16339
7.01617, 0.17655
7.06853, 0.18901
7.12089, 0.20074
7.17325, 0.21168
7.22561, 0.22179
7.27797, 0.23103
