x,y
0.00000, 1.00000
0.02975, 0.99156
0.05950, 0.98191
0.08925, 0.97107
0.11900, 0.95906
0.14875, 0.94590
0.17849, 0.93162
0.20824, 0.91624
0.23799, 0.89979
0.26774, 0.88229
0.29749, 0.86378
0.32724, 0.84427
0.35699, 0.82381
0.38674, 0.80243
0.41649, 0.78015
0.44624, 0.75701
0.47598, 0.73305
0.50573, 0.70829
0.53548, 0.68279
0.56523, 0.65657
0.59498, 0.62967
0.62473, 0.60213
0.65448, 0.57399
0.68423, 0.54528
0.71398, 0.51605
0.74373, 0.48635
0.77348, 0.45619
0.80322, 0.42564
0.83297, 0.39473
0.86272, 0.36350
0.89247, 0.33200
0.92222, 0.30025
0.95197, 0.26832
0.98172, 0.23623
1.01147, 0.20404
1.04122, 0.17177
1.07097, 0.13948
1.10071, 0.10721
1.13046, 0.07499
1.16021, 0.04286
1.18996, 0.01087
1.21971,-0.02094
1.24946,-0.05254
1.27921,-0.08389
1.30896,-0.11494
1.33871,-0.14566
1.36846,-0.17601
1.39821,-0.20596
1.42795,-0.23547
1.45770,-0.26451
1.48745,-0.29304
1.51720,-0.32102
1.54695,-0.34844
1.57670,-0.37524
1.60645,-0.40141
1.63620,-0.42692
1.66595,-0.45173
1.69570,-0.47582
1.72545,-0.49917
1.75519,-0.52174
1.78494,-0.54351
1.81469,-0.56447
1.84444,-0.58458
1.87419,-0.60383
1.90394,-0.62220
1.93369,-0.63967
1.96344,-0.65622
1.99319,-0.67184
2.02294,-0.68652
2.05268,-0.70023
2.08243,-0.71298
2.11218,-0.72474
2.14193,-0.73551
2.17168,-0.74529
2.20143,-0.75406
2.23118,-0.76182
2.26093,-0.76856
2.29068,-0.77429
2.32043,-0.77900
2.35018,-0.78269
2.37992,-0.78537
2.40967,-0.78703
2.43942,-0.78768
2.46917,-0.78733
2.49892,-0.78598
2.52867,-0.78364
2.55842,-0.78032
2.58817,-0.77602
2.61792,-0.77076
2.64767,-0.76456
2.67741,-0.75742
2.70716,-0.74936
2.73691,-0.74040
2.76666,-0.73055
2.79641,-0.71983
2.82616,-0.70826
2.85591,-0.69586
2.88566,-0.68265
2.91541,-0.66864
2.94516,-0.65387
2.97491,-0.63836
3.00465,-0.62213
3.03440,-0.60521
3.06415,-0.58761
3.09390,-0.56938
3.12365,-0.55053
3.15340,-0.53109
3.18315,-0.51109
3.21290,-0.49056
3.24265,-0.46953
3.27240,-0.44803
3.30214,-0.42608
3.33189,-0.40373
3.36164,-0.38099
3.39139,-0.35790
3.42114,-0.33450
3.45089,-0.31081
3.48064,-0.28687
3.51039,-0.26270
3.54014,-0.23835
3.56989,-0.21383
3.59964,-0.18919
3.62938,-0.16446
3.65913,-0.13966
3.68888,-0.11483
3.71863,-0.09000
3.74838,-0.06521
3.77813,-0.04048
3.80788,-0.01585
3.83763, 0.00866
3.86738, 0.03301
3.89713, 0.05718
3.92687, 0.08113
3.95662, 0.10483
3.98637, 0.12826
4.01612, 0.15139
4.04587, 0.17419
4.07562, 0.19663
4.10537, 0.21869
4.13512, 0.24034
4.16487, 0.26156
4.19462, 0.28232
4.22437, 0.30259
4.25411, 0.32237
4.28386, 0.34161
4.31361, 0.36031
4.34336, 0.37843
4.37311, 0.39597
4.40286, 0.41291
4.43261, 0.42921
4.46236, 0.44488
4.49211, 0.45989
4.52186, 0.47422
4.55161, 0.48787
4.58135, 0.50081
4.61110, 0.51304
4.64085, 0.52455
4.67060, 0.53532
4.70035, 0.54535
4.73010, 0.55463
4.75985, 0.56315
4.78960, 0.57090
4.81935, 0.57788
4.84910, 0.58408
4.87884, 0.58950
4.90859, 0.59415
4.93834, 0.59801
4.96809, 0.60109
4.99784, 0.60338
5.02759, 0.60490
5.05734, 0.60564
5.08709, 0.60560
5.11684, 0.60479
5.14659, 0.60323
5.17634, 0.60090
5.20608, 0.59782
5.23583, 0.59401
5.26558, 0.58946
5.29533, 0.58419
5.32508, 0.57820
5.35483, 0.57152
5.38458, 0.56416
5.41433, 0.55611
5.44408, 0.54741
5.47383, 0.53807
5.50357, 0.52810
5.53332, 0.51751
5.56307, 0.50634
5.59282, 0.49458
5.62257, 0.48227
5.65232, 0.46941
5.68207, 0.45604
5.71182, 0.44216
5.74157, 0.42781
5.77132, 0.41300
5.80107, 0.39775
5.83081, 0.38208
5.86056, 0.36602
5.89031, 0.34960
5.92006, 0.33282
5.94981, 0.31573
5.97956, 0.29833
6.00931, 0.28066
6.03906, 0.26273
6.06881, 0.24458
6.09856, 0.22623
6.12830, 0.20769
6.15805, 0.18901
6.18780, 0.17019
6.21755, 0.15127
6.24730, 0.13227
6.27705, 0.11321
6.30680, 0.09412
6.33655, 0.07503
6.36630, 0.05595
6.39605, 0.03692
6.42580, 0.01795
6.45554,-0.00093
6.48529,-0.01969
6.51504,-0.03832
6.54479,-0.05679
6.57454,-0.07508
6.60429,-0.09316
6.63404,-0.11102
6.66379,-0.12863
6.69354,-0.14597
6.72329,-0.16303
6.75304,-0.17977
6.78278,-0.19619
6.81253,-0.21227
6.84228,-0.22797
6.87203,-0.24330
6.90178,-0.25822
6.93153,-0.27273
6.96128,-0.28680
6.99103,-0.30043
7.02078,-0.31360
