x,y
0.00000, 0.00000
0.00660, 0.10273
0.01319, 0.20551
0.01979, 0.30831
0.02639, 0.41115
0.03298, 0.51401
0.03958, 0.61690
0.04618, 0.71980
0.05277, 0.82271
0.05937, 0.92563
0.06596, 1.02855
0.07256, 1.13147
0.07916, 1.23439
0.08575, 1.33729
0.09235, 1.44019
0.09895, 1.54306
0.10554, 1.64591
0.11214, 1.74872
0.11874, 1.85151
0.12533, 1.95426
0.13193, 2.05697
0.13853, 2.15963
0.14512, 2.26224
0.15172, 2.36479
0.15832, 2.46729
0.16491, 2.56972
0.17151, 2.67208
0.17811, 2.77437
0.18470, 2.87658
0.19130, 2.97871
0.19789, 3.08075
0.20449, 3.18270
0.21109, 3.28455
0.21768, 3.38630
0.22428, 3.48795
0.23088, 3.58949
0.23747, 3.69092
0.24407, 3.79222
0.25067, 3.89341
0.25726, 3.99446
0.26386, 4.09539
0.27046, 4.19618
0.27705, 4.29683
0.28365, 4.39733
0.29025, 4.49768
0.29684, 4.59788
0.30344, 4.69792
0.31004, 4.79780
0.31663, 4.89751
0.32323, 4.99705
0.32982, 5.09641
0.33642, 5.19560
0.34302, 5.29459
0.34961, 5.39340
0.35621, 5.49202
0.36281, 5.59043
0.36940, 5.68864
0.37600, 5.78665
0.38260, 5.88445
0.38919, 5.98203
0.39579, 6.07938
0.40239, 6.17652
0.40898, 6.27343
0.41558, 6.37010
0.42218, 6.46654
0.42877, 6.56273
0.43537, 6.65868
0.44196, 6.75437
0.44856, 6.84982
0.45516, 6.94500
0.46175, 7.03992
0.46835, 7.13458
0.47495, 7.22896
0.48154, 7.32307
0.48814, 7.41689
0.49474, 7.51043
0.50133, 7.60369
0.50793, 7.69665
0.51453, 7.78931
0.52112, 7.88168
0.52772, 7.97373
0.53432, 8.06548
0.54091, 8.15692
0.54751, 8.24803
0.55411, 8.33883
0.56070, 8.42930
0.56730, 8.51944
0.57389, 8.60924
0.58049, 8.69871
0.58709, 8.78784
0.59368, 8.87662
0.60028, 8.96504
0.60688, 9.05312
0.61347, 9.14084
0.62007, 9.22819
0.62667, 9.31518
0.63326, 9.40180
0.63986, 9.48804
0.64646, 9.57391
0.65305, 9.65939
0.65965, 9.74449
0.66625, 9.82920
0.67284, 9.91352
0.67944, 9.99743
0.68603,10.08095
0.69263,10.16406
0.69923,10.24677
0.70582,10.32906
0.71242,10.41093
0.71902,10.49238
0.72561,10.57341
0.73221,10.65402
0.73881,10.73419
0.74540,10.81393
0.75200,10.89322
0.75860,10.97208
0.76519,11.05049
0.77179,11.12845
0.77839,11.20596
0.78498,11.28301
0.79158,11.35960
0.79818,11.43573
0.80477,11.51138
0.81137,11.58657
0.81796,11.66129
0.82456,11.73553
0.83116,11.80928
0.83775,11.88255
0.84435,11.95534
0.85095,12.02763
0.85754,12.09943
0.86414,12.17073
0.87074,12.24152
0.87733,12.31182
0.88393,12.38160
0.89053,12.45088
0.89712,12.51964
0.90372,12.58788
0.91032,12.65560
0.91691,12.72280
0.92351,12.78947
0.93011,12.85561
0.93670,12.92122
0.94330,12.98629
0.94989,13.05082
0.95649,13.11480
0.96309,13.17825
0.96968,13.24114
0.97628,13.30348
0.98288,13.36527
0.98947,13.42650
0.99607,13.48717
1.00267,13.54728
1.00926,13.60682
1.01586,13.66579
1.02246,13.72419
1.02905,13.78202
1.03565,13.83927
1.04225,13.89594
1.04884,13.95202
1.05544,14.00752
1.06203,14.06243
1.06863,14.11675
1.07523,14.17048
1.08182,14.22361
1.08842,14.27615
1.09502,14.32808
1.10161,14.37941
1.10821,14.43013
1.11481,14.48025
1.12140,14.52975
1.12800,14.57864
1.13460,14.62692
1.14119,14.67457
1.14779,14.72161
1.15439,14.76802
1.16098,14.81381
1.16758,14.85897
1.17418,14.90351
1.18077,14.94740
1.18737,14.99067
1.19396,15.03330
1.20056,15.07529
1.20716,15.11664
1.21375,15.15735
1.22035,15.19742
1.22695,15.23684
1.23354,15.27561
1.24014,15.31373
1.24674,15.35120
1.25333,15.38801
1.25993,15.42417
1.26653,15.45967
1.27312,15.49451
1.27972,15.52869
1.28632,15.56220
1.29291,15.59505
1.29951,15.62724
1.30611,15.65875
1.31270,15.68960
1.31930,15.71977
1.32589,15.74927
1.33249,15.77810
1.33909,15.80625
1.34568,15.83372
1.35228,15.86051
1.35888,15.88662
1.36547,15.91205
1.37207,15.93680
1.37867,15.96086
1.38526,15.98423
1.39186,16.00692
1.39846,16.02892
1.40505,16.05023
1.41165,16.07085
1.41825,16.09077
1.42484,16.11000
1.43144,16.12854
1.43803,16.14638
1.44463,16.16353
1.45123,16.17997
1.45782,16.19572
1.46442,16.21077
1.47102,16.22511
1.47761,16.23876
1.48421,16.25170
1.49081,16.26394
1.49740,16.27548
1.50400,16.28631
1.51060,16.29643
1.51719,16.30585
1.52379,16.31456
1.53039,16.32256
1.53698,16.32986
1.54358,16.33644
1.55018,16.34232
1.55677,16.34748
1.56337,16.35194
1.56996,16.35568
1.57656,16.35871
1.58316,16.36103
1.58975,16.36264
1.59635,16.36353
1.60295,16.36371
1.60954,16.36318
1.61614,16.36194
1.62274,16.35998
1.62933,16.35730
1.63593,16.35391
1.64253,16.34981
1.64912,16.34499
1.65572,16.33946
1.66232,16.33321
1.66891,16.32625
1.67551,16.31858
1.68210,16.31019
1.68870,16.30108
1.69530,16.29126
1.70189,16.28073
1.70849,16.26948
1.71509,16.25751
1.72168,16.24483
1.72828,16.23144
1.73488,16.21734
1.74147,16.20252
1.74807,16.18699
1.75467,16.17075
1.76126,16.15380
1.76786,16.13614
1.77446,16.11776
1.78105,16.09867
1.78765,16.07888
1.79425,16.05838
1.80084,16.03716
1.80744,16.01525
1.81403,15.99262
1.82063,15.96929
1.82723,15.94525
1.83382,15.92050
1.84042,15.89506
1.84702,15.86891
1.85361,15.84205
1.86021,15.81450
1.86681,15.78624
1.87340,15.75729
1.88000,15.72763
1.88660,15.69728
1.89319,15.66623
1.89979,15.63449
1.90639,15.60205
1.91298,15.56892
1.91958,15.53510
1.92617,15.50059
1.93277,15.46538
1.93937,15.42949
1.94596,15.39291
1.95256,15.35565
1.95916,15.31770
1.96575,15.27907
1.97235,15.23975
1.97895,15.19976
1.98554,15.15909
1.99214,15.11774
1.99874,15.07571
2.00533,15.03301
2.01193,14.98964
2.01853,14.94560
2.02512,14.90089
2.03172,14.85551
2.03832,14.80946
2.04491,14.76275
2.05151,14.71538
2.05810,14.66735
2.06470,14.61866
2.07130,14.56931
2.07789,14.51931
2.08449,14.46866
2.09109,14.41735
2.09768,14.36540
2.10428,14.31279
2.11088,14.25955
2.11747,14.20566
2.12407,14.15113
2.13067,14.09596
2.13726,14.04015
2.14386,13.98371
2.15046,13.92664
2.15705,13.86894
2.16365,13.81061
2.17025,13.75166
2.17684,13.69208
2.18344,13.63188
2.19003,13.57106
2.19663,13.50963
2.20323,13.44759
2.20982,13.38493
2.21642,13.32167
2.22302,13.25780
2.22961,13.19332
2.23621,13.12825
2.24281,13.06258
2.24940,12.99631
2.25600,12.92945
2.26260,12.86200
2.26919,12.79396
2.27579,12.72534
2.28239,12.65613
2.28898,12.58635
2.29558,12.51599
2.30218,12.44505
2.30877,12.37355
2.31537,12.30147
2.32196,12.22884
2.32856,12.15564
2.33516,12.08188
2.34175,12.00757
2.34835,11.93270
2.35495,11.85728
2.36154,11.78132
2.36814,11.70482
2.37474,11.62777
2.38133,11.55019
2.38793,11.47207
2.39453,11.39342
2.40112,11.31424
2.40772,11.23454
2.41432,11.15432
2.42091,11.07358
2.42751,10.99232
2.43410,10.91056
2.44070,10.82828
2.44730,10.74550
2.45389,10.66222
2.46049,10.57845
2.46709,10.49418
2.47368,10.40942
2.48028,10.32417
2.48688,10.23843
2.49347,10.15222
2.50007,10.06553
2.50667, 9.97837
2.51326, 9.89074
2.51986, 9.80264
2.52646, 9.71408
2.53305, 9.62507
2.53965, 9.53560
2.54625, 9.44567
2.55284, 9.35531
2.55944, 9.26449
2.56603, 9.17324
2.57263, 9.08155
2.57923, 8.98944
2.58582, 8.89689
2.59242, 8.80392
2.59902, 8.71053
2.60561, 8.61672
2.61221, 8.52250
2.61881, 8.42787
2.62540, 8.33284
2.63200, 8.23740
2.63860, 8.14157
2.64519, 8.04535
2.65179, 7.94874
2.65839, 7.85174
2.66498, 7.75437
2.67158, 7.65662
2.67817, 7.55850
2.68477, 7.46000
2.69137, 7.36115
2.69796, 7.26194
2.70456, 7.16237
2.71116, 7.06245
2.71775, 6.96218
2.72435, 6.86157
2.73095, 6.76062
2.73754, 6.65934
2.74414, 6.55773
2.75074, 6.45579
2.75733, 6.35353
2.76393, 6.25095
2.77053, 6.14807
2.77712, 6.04487
2.78372, 5.94137
2.79032, 5.83757
2.79691, 5.73348
2.80351, 5.62909
2.81010, 5.52442
2.81670, 5.41947
2.82330, 5.31424
2.82989, 5.20874
2.83649, 5.10297
2.84309, 4.99694
2.84968, 4.89064
2.85628, 4.78410
2.86288, 4.67730
2.86947, 4.57026
2.87607, 4.46298
2.88267, 4.35546
2.88926, 4.24771
2.89586, 4.13973
2.90246, 4.03153
2.90905, 3.92311
2.91565, 3.81448
2.92225, 3.70564
2.92884, 3.59660
2.93544, 3.48736
2.94203, 3.37792
2.94863, 3.26830
2.95523, 3.15849
2.96182, 3.04850
2.96842, 2.93833
2.97502, 2.82799
2.98161, 2.71749
2.98821, 2.60683
2.99481, 2.49601
3.00140, 2.38504
3.00800, 2.27392
3.01460, 2.16266
3.02119, 2.05126
3.02779, 1.93973
3.03439, 1.82807
3.04098, 1.71629
3.04758, 1.60439
3.05417, 1.49237
3.06077, 1.38025
3.06737, 1.26803
3.07396, 1.15571
3.08056, 1.04329
3.08716, 0.93079
3.09375, 0.81820
3.10035, 0.70553
3.10695, 0.59279
3.11354, 0.47997
3.12014, 0.36710
3.12674, 0.25416
3.13333, 0.14117
3.13993, 0.02813
3.14653,-0.08495
3.15312,-0.19807
3.15972,-0.31123
3.16632,-0.42442
3.17291,-0.53764
3.17951,-0.65087
3.18610,-0.76412
3.19270,-0.87738
3.19930,-0.99064
3.20589,-1.10391
3.21249,-1.21717
3.21909,-1.33042
3.22568,-1.44366
3.23228,-1.55688
3.23888,-1.67007
3.24547,-1.78323
3.25207,-1.89636
3.25867,-2.00945
3.26526,-2.12250
3.27186,-2.23549
3.27846,-2.34843
3.28505,-2.46132
3.29165,-2.57414
3.29824,-2.68689
3.30484,-2.79956
3.31144,-2.91216
3.31803,-3.02467
3.32463,-3.13710
3.33123,-3.24943
3.33782,-3.36166
3.34442,-3.47379
3.35102,-3.58581
3.35761,-3.69772
3.36421,-3.80950
3.37081,-3.92117
3.37740,-4.03271
3.38400,-4.14411
3.39060,-4.25537
3.39719,-4.36650
3.40379,-4.47747
3.41039,-4.58829
3.41698,-4.69896
3.42358,-4.80946
