T,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.01,0.00315091,0.00629871,0.00944030,0.01257256,0.01569242,0.01879679,0.02188262,0.02494685,0.02798646,0.03099844,0.03397984,0.03692771,0.03983913,0.04271124,0.04554120,0.04832620,0.05106352,0.05375045,0.05638433,0.05896258,0.06148262,0.06394199,0.06633826,0.06866904,0.07093208,0.07312511,0.07524598,0.07729258,0.07926291,0.08115502,0.08296702,0.08469716,0.08634371,0.08790504,0.08937962,0.09076601,0.09206282,0.09326878,0.09438267,0.09540345,0.09633005,0.09716160,0.09789725,0.09853628,0.09907809,0.09952211,0.09986793,0.10011519,0.10026364,0.10031314,0.10026366,0.10011521,0.09986794,0.09952213,0.09907809,0.09853628,0.09789723,0.09716158,0.09633005,0.09540344,0.09438268,0.09326878,0.09206283,0.09076603,0.08937965,0.08790506,0.08634372,0.08469718,0.08296704,0.08115502,0.07926291,0.07729257,0.07524596,0.07312511,0.07093208,0.06866904,0.06633824,0.06394198,0.06148261,0.05896256,0.05638433,0.05375046,0.05106353,0.04832621,0.04554120,0.04271124,0.03983914,0.03692771,0.03397985,0.03099845,0.02798646,0.02494685,0.02188263,0.01879681,0.01569243,0.01257257,0.00944030,0.00629871,0.00315090,0.00000000
0.02,0.00311956,0.00623604,0.00934637,0.01244747,0.01553629,0.01860978,0.02166491,0.02469865,0.02770801,0.03069003,0.03364177,0.03656030,0.03944276,0.04228628,0.04508808,0.04784538,0.05055546,0.05321566,0.05582334,0.05837593,0.06087091,0.06330582,0.06567824,0.06798585,0.07022636,0.07239756,0.07449732,0.07652357,0.07847428,0.08034755,0.08214155,0.08385447,0.08548464,0.08703045,0.08849038,0.08986297,0.09114687,0.09234082,0.09344365,0.09445424,0.09537163,0.09619488,0.09692322,0.09755591,0.09809232,0.09853193,0.09887430,0.09911908,0.09926606,0.09931508,0.09926607,0.09911908,0.09887430,0.09853192,0.09809233,0.09755594,0.09692325,0.09619491,0.09537163,0.09445423,0.09344362,0.09234080,0.09114686,0.08986296,0.08849037,0.08703046,0.08548465,0.08385448,0.08214156,0.08034757,0.07847428,0.07652357,0.07449733,0.07239755,0.07022634,0.06798583,0.06567823,0.06330581,0.06087091,0.05837594,0.05582334,0.05321567,0.05055548,0.04784539,0.04508809,0.04228630,0.03944276,0.03656030,0.03364177,0.03069004,0.02770801,0.02469865,0.02166490,0.01860978,0.01553629,0.01244747,0.00934637,0.00623604,0.00311957,0.00000000
0.03,0.00308852,0.00617400,0.00925338,0.01232364,0.01538172,0.01842463,0.02144935,0.02445291,0.02743234,0.03038469,0.03330706,0.03619656,0.03905033,0.04186556,0.04463948,0.04736935,0.05005247,0.05268618,0.05526792,0.05779510,0.06026526,0.06267593,0.06502476,0.06730941,0.06952764,0.07167726,0.07375614,0.07576220,0.07769353,0.07954817,0.08132429,0.08302017,0.08463412,0.08616455,0.08760994,0.08896888,0.09024000,0.09142208,0.09251392,0.09351446,0.09442272,0.09523781,0.09595890,0.09658528,0.09711636,0.09755158,0.09789054,0.09813291,0.09827842,0.09832694,0.09827842,0.09813292,0.09789056,0.09755161,0.09711638,0.09658530,0.09595892,0.09523782,0.09442275,0.09351449,0.09251395,0.09142209,0.09024001,0.08896887,0.08760995,0.08616455,0.08463412,0.08302017,0.08132429,0.07954817,0.07769354,0.07576221,0.07375614,0.07167728,0.06952767,0.06730944,0.06502477,0.06267595,0.06026528,0.05779513,0.05526796,0.05268622,0.05005249,0.04736937,0.04463950,0.04186557,0.03905035,0.03619657,0.03330706,0.03038470,0.02743234,0.02445291,0.02144936,0.01842463,0.01538172,0.01232363,0.00925338,0.00617400,0.00308852,0.00000000
0.04,0.00305779,0.00611257,0.00916131,0.01220102,0.01522868,0.01824131,0.02123594,0.02420961,0.02715939,0.03008237,0.03297566,0.03583641,0.03866180,0.04144902,0.04419534,0.04689804,0.04955445,0.05216198,0.05471803,0.05722008,0.05966565,0.06205234,0.06437780,0.06663974,0.06883590,0.07096412,0.07302230,0.07500843,0.07692052,0.07875671,0.08051517,0.08219417,0.08379207,0.08530727,0.08673829,0.08808368,0.08934217,0.09051247,0.09159347,0.09258407,0.09348329,0.09429026,0.09500417,0.09562434,0.09615013,0.09658103,0.09691662,0.09715654,0.09730059,0.09734864,0.09730060,0.09715654,0.09691662,0.09658103,0.09615013,0.09562435,0.09500419,0.09429029,0.09348331,0.09258409,0.09159347,0.09051248,0.08934216,0.08808369,0.08673827,0.08530726,0.08379206,0.08219416,0.08051516,0.07875670,0.07692052,0.07500844,0.07302231,0.07096412,0.06883589,0.06663974,0.06437783,0.06205238,0.05966567,0.05722009,0.05471804,0.05216201,0.04955449,0.04689807,0.04419536,0.04144905,0.03866181,0.03583643,0.03297568,0.03008239,0.02715941,0.02420963,0.02123595,0.01824132,0.01522869,0.01220102,0.00916132,0.00611257,0.00305780,0.00000000
0.05,0.00302737,0.00605175,0.00907017,0.01207963,0.01507716,0.01805982,0.02102466,0.02396874,0.02688918,0.02978307,0.03264757,0.03547985,0.03827711,0.04103661,0.04375561,0.04643143,0.04906144,0.05164301,0.05417363,0.05665078,0.05907203,0.06143498,0.06373730,0.06597671,0.06815101,0.07025807,0.07229579,0.07426215,0.07615524,0.07797315,0.07971413,0.08137643,0.08295842,0.08445852,0.08587529,0.08720732,0.08845328,0.08961196,0.09068218,0.09166293,0.09255321,0.09335216,0.09405898,0.09467295,0.09519351,0.09562013,0.09595237,0.09618993,0.09633256,0.09638011,0.09633256,0.09618993,0.09595235,0.09562011,0.09519349,0.09467293,0.09405896,0.09335213,0.09255320,0.09166291,0.09068219,0.08961195,0.08845329,0.08720732,0.08587530,0.08445853,0.08295840,0.08137642,0.07971411,0.07797314,0.07615522,0.07426213,0.07229578,0.07025807,0.06815103,0.06597672,0.06373730,0.06143498,0.05907206,0.05665082,0.05417367,0.05164305,0.04906147,0.04643147,0.04375565,0.04103664,0.03827715,0.03547988,0.03264759,0.02978309,0.02688920,0.02396875,0.02102467,0.01805983,0.01507717,0.01207963,0.00907017,0.00605176,0.00302737,0.00000000
0.06,0.00299725,0.00599154,0.00897992,0.01195944,0.01492715,0.01788013,0.02081547,0.02373026,0.02662163,0.02948673,0.03232275,0.03512685,0.03789629,0.04062834,0.04332028,0.04596947,0.04857330,0.05112920,0.05363464,0.05608715,0.05848431,0.06082375,0.06310315,0.06532030,0.06747298,0.06955907,0.07157651,0.07352331,0.07539755,0.07719739,0.07892103,0.08056679,0.08213305,0.08361824,0.08502091,0.08633967,0.08757325,0.08872037,0.08977996,0.09075093,0.09163234,0.09242333,0.09312313,0.09373103,0.09424640,0.09466876,0.09499772,0.09523290,0.09537411,0.09542121,0.09537411,0.09523290,0.09499773,0.09466878,0.09424641,0.09373103,0.09312314,0.09242338,0.09163238,0.09075096,0.08977996,0.08872038,0.08757323,0.08633969,0.08502091,0.08361822,0.08213304,0.08056678,0.07892101,0.07719736,0.07539751,0.07352328,0.07157648,0.06955905,0.06747296,0.06532030,0.06310317,0.06082376,0.05848431,0.05608717,0.05363466,0.05112924,0.04857334,0.04596952,0.04332032,0.04062838,0.03789634,0.03512689,0.03232278,0.02948677,0.02662166,0.02373029,0.02081548,0.01788015,0.01492716,0.01195944,0.00897992,0.00599155,0.00299725,0.00000000
0.07,0.00296743,0.00593193,0.00889058,0.01184045,0.01477863,0.01770223,0.02060836,0.02349416,0.02635677,0.02919337,0.03200115,0.03477736,0.03751924,0.04022410,0.04288927,0.04551210,0.04809002,0.05062049,0.05310100,0.05552911,0.05790242,0.06021859,0.06247534,0.06467041,0.06680167,0.06886698,0.07086435,0.07279178,0.07464738,0.07642931,0.07813580,0.07976519,0.08131585,0.08278628,0.08417500,0.08548066,0.08670193,0.08783767,0.08888669,0.08984803,0.09072068,0.09150379,0.09219660,0.09279841,0.09330868,0.09372686,0.09405252,0.09428538,0.09442519,0.09447180,0.09442520,0.09428541,0.09405255,0.09372689,0.09330872,0.09279848,0.09219666,0.09150381,0.09072070,0.08984803,0.08888672,0.08783767,0.08670194,0.08548063,0.08417499,0.08278628,0.08131585,0.07976517,0.07813579,0.07642929,0.07464737,0.07279178,0.07086436,0.06886698,0.06680165,0.06467040,0.06247532,0.06021859,0.05790245,0.05552914,0.05310104,0.05062053,0.04809007,0.04551215,0.04288930,0.04022414,0.03751928,0.03477739,0.03200118,0.02919339,0.02635680,0.02349418,0.02060838,0.01770224,0.01477864,0.01184045,0.00889058,0.00593193,0.00296743,0.00000000
0.08,0.00293790,0.00587291,0.00880212,0.01172264,0.01463159,0.01752611,0.02040333,0.02326041,0.02609453,0.02890290,0.03168276,0.03443135,0.03714596,0.03982391,0.04246255,0.04505930,0.04761157,0.05011686,0.05257269,0.05497664,0.05732633,0.05961944,0.06185370,0.06402694,0.06613699,0.06818180,0.07015929,0.07206756,0.07390469,0.07566888,0.07735840,0.07897158,0.08050682,0.08196261,0.08333752,0.08463015,0.08583932,0.08696373,0.08800235,0.08895408,0.08981805,0.09059338,0.09127931,0.09187517,0.09238033,0.09279434,0.09311677,0.09334730,0.09348571,0.09353188,0.09348573,0.09334731,0.09311680,0.09279437,0.09238037,0.09187520,0.09127934,0.09059343,0.08981808,0.08895412,0.08800235,0.08696376,0.08583932,0.08463019,0.08333752,0.08196260,0.08050682,0.07897157,0.07735838,0.07566885,0.07390465,0.07206752,0.07015927,0.06818181,0.06613702,0.06402697,0.06185375,0.05961947,0.05732634,0.05497666,0.05257272,0.05011690,0.04761161,0.04505933,0.04246259,0.03982394,0.03714599,0.03443138,0.03168280,0.02890294,0.02609456,0.02326043,0.02040334,0.01752613,0.01463161,0.01172265,0.00880213,0.00587291,0.00293791,0.00000000
0.09,0.00290867,0.00581448,0.00871454,0.01160601,0.01448602,0.01735173,0.02020033,0.02302898,0.02583492,0.02861535,0.03136754,0.03408878,0.03677638,0.03942769,0.04204009,0.04461099,0.04713788,0.04961823,0.05204962,0.05442964,0.05675595,0.05902626,0.06123832,0.06338993,0.06547900,0.06750342,0.06946125,0.07135051,0.07316937,0.07491603,0.07658875,0.07818587,0.07970582,0.08114713,0.08250835,0.08378816,0.08498523,0.08609847,0.08712672,0.08806901,0.08892439,0.08969201,0.09037112,0.09096102,0.09146118,0.09187108,0.09219030,0.09241854,0.09255558,0.09260126,0.09255558,0.09241857,0.09219032,0.09187111,0.09146123,0.09096108,0.09037118,0.08969207,0.08892447,0.08806908,0.08712681,0.08609852,0.08498530,0.08378818,0.08250839,0.08114717,0.07970585,0.07818587,0.07658873,0.07491603,0.07316938,0.07135052,0.06946126,0.06750343,0.06547900,0.06338995,0.06123833,0.05902628,0.05675599,0.05442967,0.05204964,0.04961824,0.04713789,0.04461101,0.04204010,0.03942771,0.03677640,0.03408881,0.03136756,0.02861536,0.02583493,0.02302900,0.02020034,0.01735175,0.01448603,0.01160602,0.00871455,0.00581448,0.00290867,0.00000000
0.1,0.00287973,0.00575663,0.00862784,0.01149053,0.01434189,0.01717910,0.01999935,0.02279986,0.02557787,0.02833064,0.03105546,0.03374963,0.03641048,0.03903541,0.04162181,0.04416713,0.04666887,0.04912456,0.05153177,0.05388813,0.05619130,0.05843902,0.06062904,0.06275927,0.06482753,0.06683183,0.06877016,0.07064064,0.07244140,0.07417066,0.07582670,0.07740794,0.07891279,0.08033974,0.08168742,0.08295447,0.08413969,0.08524185,0.08625991,0.08719280,0.08803964,0.08879963,0.08947197,0.09005602,0.09055119,0.09095700,0.09127305,0.09149902,0.09163468,0.09167995,0.09163471,0.09149903,0.09127307,0.09095702,0.09055121,0.09005605,0.08947200,0.08879967,0.08803969,0.08719285,0.08625993,0.08524191,0.08413973,0.08295455,0.08168747,0.08033977,0.07891283,0.07740799,0.07582674,0.07417066,0.07244139,0.07064064,0.06877016,0.06683183,0.06482753,0.06275925,0.06062905,0.05843901,0.05619128,0.05388812,0.05153178,0.04912458,0.04666889,0.04416715,0.04162182,0.03903542,0.03641049,0.03374963,0.03105547,0.02833066,0.02557788,0.02279987,0.01999936,0.01717911,0.01434190,0.01149054,0.00862784,0.00575663,0.00287974,0.00000000
