Tx1,x2,x3,x4,x5,x6,x7,x8,x9,x10,
0.01,0.28017962,0.53293335,0.73351979,0.86230427,0.90668041,0.86230445,0.73352009,0.53293365,0.28017983,0.00000000
0.02,0.25403339,0.48320022,0.66506809,0.78183442,0.82206953,0.78183460,0.66506827,0.48320040,0.25403351,0.00000000
0.03,0.23032710,0.43810821,0.60300422,0.70887405,0.74535429,0.70887405,0.60300434,0.43810833,0.23032717,0.00000000
0.04,0.20883310,0.39722419,0.54673219,0.64272225,0.67579818,0.64272225,0.54673219,0.39722422,0.20883314,0.00000000
0.05,0.18934490,0.36015540,0.49571139,0.58274370,0.61273301,0.58274364,0.49571139,0.36015540,0.18934490,0.00000000
0.06,0.17167532,0.32654586,0.44945186,0.52836233,0.55555302,0.52836233,0.44945180,0.32654583,0.17167531,0.00000000
0.07,0.15565467,0.29607278,0.40750921,0.47905576,0.50370908,0.47905576,0.40750918,0.29607272,0.15565464,0.00000000
0.08,0.14112905,0.26844341,0.36948064,0.43435052,0.45670316,0.43435052,0.36948061,0.26844338,0.14112902,0.00000000
0.09,0.12795895,0.24339238,0.33500087,0.39381713,0.41408384,0.39381713,0.33500084,0.24339235,0.12795894,0.00000000
0.1,0.11601787,0.22067910,0.30373871,0.35706627,0.37544173,0.35706630,0.30373871,0.22067909,0.11601786,0.00000000
0.11,0.10519113,0.20008543,0.27539396,0.32374501,0.34040564,0.32374501,0.27539396,0.20008540,0.10519112,0.00000000
0.12,0.09537474,0.18141353,0.24969432,0.29353327,0.30863917,0.29353327,0.24969430,0.18141353,0.09537473,0.00000000
0.13,0.08647441,0.16448411,0.22639295,0.26614088,0.27983710,0.26614088,0.22639295,0.16448411,0.08647441,0.00000000
0.14,0.07840466,0.14913453,0.20526607,0.24130476,0.25372282,0.24130474,0.20526607,0.14913452,0.07840466,0.00000000
0.15,0.07108797,0.13521735,0.18611073,0.21878630,0.23004553,0.21878628,0.18611073,0.13521735,0.07108797,0.00000000
0.16,0.06445408,0.12259894,0.16874297,0.19836925,0.20857778,0.19836925,0.16874295,0.12259893,0.06445407,0.00000000
0.17,0.05843925,0.11115807,0.15299594,0.17985754,0.18911339,0.17985752,0.15299594,0.11115806,0.05843925,0.00000000
0.18,0.05298573,0.10078485,0.13871844,0.16307329,0.17146540,0.16307327,0.13871841,0.10078484,0.05298572,0.00000000
0.19,0.04804112,0.09137965,0.12577330,0.14785537,0.15546432,0.14785536,0.12577328,0.09137964,0.04804112,0.00000000
0.2,0.04355795,0.08285214,0.11403618,0.13405757,0.14095648,0.13405757,0.11403617,0.08285213,0.04355794,0.00000000
0.21,0.03949314,0.07512041,0.10339439,0.12154739,0.12780249,0.12154739,0.10339436,0.07512040,0.03949313,0.00000000
