T,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.01,0.00315091,0.00629871,0.00944030,0.01257256,0.01569242,0.01879680,0.02188262,0.02494685,0.02798646,0.03099845,0.03397985,0.03692771,0.03983913,0.04271124,0.04554119,0.04832620,0.05106352,0.05375044,0.05638432,0.05896256,0.06148260,0.06394197,0.06633824,0.06866903,0.07093207,0.07312510,0.07524596,0.07729256,0.07926289,0.08115500,0.08296701,0.08469715,0.08634369,0.08790503,0.08937962,0.09076600,0.09206280,0.09326876,0.09438266,0.09540342,0.09633003,0.09716157,0.09789723,0.09853627,0.09907807,0.09952210,0.09986790,0.10011515,0.10026359,0.10031309,0.10026359,0.10011515,0.09986790,0.09952210,0.09907807,0.09853627,0.09789723,0.09716157,0.09633003,0.09540342,0.09438266,0.09326876,0.09206281,0.09076600,0.08937962,0.08790503,0.08634370,0.08469715,0.08296702,0.08115500,0.07926290,0.07729257,0.07524596,0.07312511,0.07093207,0.06866904,0.06633824,0.06394198,0.06148261,0.05896256,0.05638433,0.05375045,0.05106352,0.04832621,0.04554120,0.04271124,0.03983914,0.03692772,0.03397986,0.03099846,0.02798646,0.02494685,0.02188264,0.01879681,0.01569243,0.01257257,0.00944030,0.00629871,0.00315090,0.00000000
0.02,0.00311956,0.00623604,0.00934637,0.01244747,0.01553629,0.01860978,0.02166490,0.02469864,0.02770801,0.03069003,0.03364177,0.03656030,0.03944276,0.04228629,0.04508808,0.04784538,0.05055546,0.05321565,0.05582333,0.05837591,0.06087088,0.06330578,0.06567821,0.06798582,0.07022633,0.07239754,0.07449730,0.07652355,0.07847427,0.08034755,0.08214154,0.08385445,0.08548462,0.08703042,0.08849034,0.08986293,0.09114683,0.09234078,0.09344361,0.09445421,0.09537160,0.09619487,0.09692321,0.09755589,0.09809230,0.09853190,0.09887427,0.09911906,0.09926603,0.09931503,0.09926603,0.09911906,0.09887427,0.09853190,0.09809230,0.09755589,0.09692321,0.09619487,0.09537160,0.09445421,0.09344361,0.09234078,0.09114683,0.08986293,0.08849034,0.08703043,0.08548463,0.08385446,0.08214154,0.08034755,0.07847427,0.07652355,0.07449731,0.07239754,0.07022634,0.06798582,0.06567821,0.06330579,0.06087089,0.05837592,0.05582333,0.05321566,0.05055547,0.04784539,0.04508809,0.04228629,0.03944276,0.03656031,0.03364177,0.03069004,0.02770802,0.02469865,0.02166490,0.01860978,0.01553630,0.01244748,0.00934637,0.00623605,0.00311957,0.00000000
0.03,0.00308852,0.00617400,0.00925338,0.01232363,0.01538172,0.01842462,0.02144935,0.02445291,0.02743233,0.03038468,0.03330705,0.03619655,0.03905032,0.04186556,0.04463948,0.04736935,0.05005247,0.05268619,0.05526792,0.05779510,0.06026525,0.06267592,0.06502475,0.06730939,0.06952762,0.07167723,0.07375610,0.07576218,0.07769349,0.07954814,0.08132427,0.08302015,0.08463410,0.08616452,0.08760991,0.08896884,0.09023997,0.09142204,0.09251389,0.09351444,0.09442270,0.09523778,0.09595887,0.09658526,0.09711634,0.09755157,0.09789052,0.09813288,0.09827838,0.09832690,0.09827838,0.09813288,0.09789052,0.09755157,0.09711634,0.09658526,0.09595888,0.09523778,0.09442271,0.09351444,0.09251389,0.09142205,0.09023997,0.08896884,0.08760992,0.08616452,0.08463410,0.08302016,0.08132428,0.07954814,0.07769350,0.07576218,0.07375610,0.07167724,0.06952762,0.06730940,0.06502475,0.06267593,0.06026526,0.05779511,0.05526793,0.05268620,0.05005247,0.04736935,0.04463949,0.04186556,0.03905033,0.03619655,0.03330706,0.03038469,0.02743234,0.02445291,0.02144936,0.01842463,0.01538172,0.01232363,0.00925338,0.00617400,0.00308852,0.00000000
0.04,0.00305779,0.00611257,0.00916131,0.01220102,0.01522868,0.01824131,0.02123594,0.02420961,0.02715939,0.03008237,0.03297566,0.03583641,0.03866179,0.04144902,0.04419534,0.04689805,0.04955447,0.05216199,0.05471803,0.05722007,0.05966565,0.06205234,0.06437778,0.06663971,0.06883586,0.07096408,0.07302226,0.07500839,0.07692049,0.07875667,0.08051514,0.08219414,0.08379203,0.08530723,0.08673824,0.08808365,0.08934213,0.09051244,0.09159343,0.09258402,0.09348325,0.09429022,0.09500414,0.09562429,0.09615008,0.09658098,0.09691657,0.09715651,0.09730057,0.09734860,0.09730057,0.09715651,0.09691657,0.09658098,0.09615008,0.09562429,0.09500414,0.09429022,0.09348325,0.09258403,0.09159343,0.09051244,0.08934213,0.08808365,0.08673824,0.08530724,0.08379204,0.08219415,0.08051514,0.07875668,0.07692049,0.07500839,0.07302227,0.07096408,0.06883586,0.06663971,0.06437779,0.06205234,0.05966565,0.05722008,0.05471803,0.05216200,0.04955448,0.04689805,0.04419535,0.04144903,0.03866180,0.03583642,0.03297567,0.03008238,0.02715940,0.02420962,0.02123594,0.01824131,0.01522868,0.01220102,0.00916131,0.00611257,0.00305780,0.00000000
0.05,0.00302737,0.00605175,0.00907016,0.01207962,0.01507716,0.01805982,0.02102465,0.02396874,0.02688917,0.02978307,0.03264757,0.03547986,0.03827713,0.04103662,0.04375562,0.04643144,0.04906143,0.05164301,0.05417362,0.05665077,0.05907201,0.06143495,0.06373726,0.06597667,0.06815098,0.07025802,0.07229573,0.07426209,0.07615517,0.07797309,0.07971406,0.08137636,0.08295835,0.08445847,0.08587524,0.08720727,0.08845323,0.08961190,0.09068212,0.09166287,0.09255314,0.09335208,0.09405890,0.09467288,0.09519344,0.09562006,0.09595230,0.09618986,0.09633248,0.09638004,0.09633248,0.09618986,0.09595230,0.09562006,0.09519344,0.09467289,0.09405890,0.09335208,0.09255315,0.09166287,0.09068213,0.08961190,0.08845323,0.08720727,0.08587525,0.08445847,0.08295835,0.08137636,0.07971406,0.07797309,0.07615518,0.07426210,0.07229574,0.07025803,0.06815098,0.06597668,0.06373727,0.06143495,0.05907201,0.05665077,0.05417363,0.05164301,0.04906144,0.04643144,0.04375563,0.04103663,0.03827714,0.03547986,0.03264758,0.02978307,0.02688918,0.02396874,0.02102466,0.01805982,0.01507716,0.01207962,0.00907016,0.00605175,0.00302737,0.00000000
0.06,0.00299725,0.00599154,0.00897992,0.01195944,0.01492715,0.01788013,0.02081547,0.02373026,0.02662164,0.02948674,0.03232275,0.03512685,0.03789629,0.04062833,0.04332028,0.04596947,0.04857330,0.05112919,0.05363462,0.05608712,0.05848427,0.06082371,0.06310311,0.06532025,0.06747291,0.06955900,0.07157643,0.07352323,0.07539747,0.07719730,0.07892095,0.08056671,0.08213296,0.08361816,0.08502083,0.08633960,0.08757317,0.08872030,0.08977989,0.09075087,0.09163229,0.09242328,0.09312306,0.09373094,0.09424632,0.09466869,0.09499763,0.09523282,0.09537403,0.09542111,0.09537403,0.09523282,0.09499763,0.09466869,0.09424632,0.09373094,0.09312306,0.09242328,0.09163229,0.09075087,0.08977989,0.08872031,0.08757317,0.08633961,0.08502083,0.08361816,0.08213296,0.08056671,0.07892095,0.07719730,0.07539747,0.07352323,0.07157644,0.06955900,0.06747292,0.06532025,0.06310312,0.06082371,0.05848428,0.05608713,0.05363462,0.05112919,0.04857330,0.04596948,0.04332028,0.04062834,0.03789630,0.03512686,0.03232275,0.02948675,0.02662164,0.02373027,0.02081547,0.01788014,0.01492715,0.01195944,0.00897992,0.00599154,0.00299725,0.00000000
0.07,0.00296743,0.00593193,0.00889057,0.01184045,0.01477863,0.01770224,0.02060837,0.02349416,0.02635677,0.02919337,0.03200115,0.03477736,0.03751925,0.04022410,0.04288927,0.04551210,0.04809002,0.05062048,0.05310098,0.05552909,0.05790238,0.06021854,0.06247527,0.06467034,0.06680160,0.06886692,0.07086429,0.07279171,0.07464731,0.07642923,0.07813573,0.07976511,0.08131578,0.08278620,0.08417492,0.08548057,0.08670186,0.08783759,0.08888663,0.08984795,0.09072060,0.09150372,0.09219654,0.09279837,0.09330862,0.09372679,0.09405245,0.09428531,0.09442511,0.09447172,0.09442511,0.09428531,0.09405245,0.09372679,0.09330862,0.09279837,0.09219654,0.09150372,0.09072060,0.08984795,0.08888663,0.08783759,0.08670186,0.08548057,0.08417493,0.08278621,0.08131578,0.07976512,0.07813573,0.07642923,0.07464731,0.07279172,0.07086429,0.06886693,0.06680160,0.06467035,0.06247528,0.06021855,0.05790239,0.05552909,0.05310099,0.05062048,0.04809002,0.04551210,0.04288927,0.04022411,0.03751925,0.03477736,0.03200116,0.02919337,0.02635677,0.02349416,0.02060837,0.01770224,0.01477864,0.01184045,0.00889058,0.00593193,0.00296743,0.00000000
0.08,0.00293790,0.00587291,0.00880212,0.01172264,0.01463159,0.01752611,0.02040333,0.02326041,0.02609453,0.02890291,0.03168276,0.03443134,0.03714595,0.03982390,0.04246254,0.04505928,0.04761155,0.05011683,0.05257266,0.05497660,0.05732629,0.05961940,0.06185368,0.06402691,0.06613696,0.06818173,0.07015922,0.07206748,0.07390460,0.07566880,0.07735832,0.07897149,0.08050673,0.08196252,0.08333743,0.08463008,0.08583923,0.08696365,0.08800226,0.08895401,0.08981798,0.09059331,0.09127923,0.09187508,0.09238025,0.09279426,0.09311669,0.09334722,0.09348563,0.09353178,0.09348563,0.09334722,0.09311669,0.09279426,0.09238025,0.09187508,0.09127923,0.09059331,0.08981798,0.08895401,0.08800226,0.08696365,0.08583923,0.08463009,0.08333743,0.08196253,0.08050674,0.07897150,0.07735832,0.07566880,0.07390461,0.07206748,0.07015923,0.06818174,0.06613696,0.06402691,0.06185368,0.05961941,0.05732629,0.05497661,0.05257266,0.05011684,0.04761156,0.04505928,0.04246254,0.03982390,0.03714595,0.03443135,0.03168276,0.02890291,0.02609454,0.02326041,0.02040333,0.01752611,0.01463160,0.01172264,0.00880212,0.00587291,0.00293791,0.00000000
0.09,0.00290867,0.00581448,0.00871454,0.01160601,0.01448602,0.01735173,0.02020032,0.02302898,0.02583491,0.02861534,0.03136753,0.03408877,0.03677637,0.03942767,0.04204006,0.04461096,0.04713784,0.04961820,0.05204959,0.05442961,0.05675592,0.05902622,0.06123827,0.06338988,0.06547893,0.06750336,0.06946118,0.07135044,0.07316930,0.07491594,0.07658865,0.07818577,0.07970574,0.08114704,0.08250826,0.08378806,0.08498517,0.08609841,0.08712668,0.08806897,0.08892434,0.08969196,0.09037106,0.09096097,0.09146112,0.09187100,0.09219022,0.09241847,0.09255550,0.09260119,0.09255550,0.09241847,0.09219023,0.09187101,0.09146112,0.09096097,0.09037106,0.08969196,0.08892434,0.08806897,0.08712668,0.08609841,0.08498517,0.08378807,0.08250827,0.08114705,0.07970574,0.07818578,0.07658865,0.07491594,0.07316930,0.07135045,0.06946118,0.06750337,0.06547893,0.06338988,0.06123827,0.05902623,0.05675593,0.05442962,0.05204960,0.04961820,0.04713785,0.04461097,0.04204007,0.03942767,0.03677637,0.03408878,0.03136754,0.02861535,0.02583491,0.02302898,0.02020033,0.01735173,0.01448602,0.01160601,0.00871454,0.00581448,0.00290867,0.00000000
0.1,0.00287973,0.00575663,0.00862784,0.01149053,0.01434189,0.01717909,0.01999934,0.02279985,0.02557787,0.02833063,0.03105545,0.03374961,0.03641046,0.03903539,0.04162178,0.04416711,0.04666885,0.04912453,0.05153173,0.05388807,0.05619123,0.05843894,0.06062898,0.06275918,0.06482745,0.06683174,0.06877008,0.07064055,0.07244130,0.07417056,0.07582663,0.07740787,0.07891271,0.08033967,0.08168735,0.08295442,0.08413962,0.08524178,0.08625982,0.08719273,0.08803959,0.08879957,0.08947191,0.09005596,0.09055113,0.09095694,0.09127298,0.09149895,0.09163462,0.09167986,0.09163462,0.09149895,0.09127298,0.09095694,0.09055113,0.09005596,0.08947191,0.08879957,0.08803959,0.08719273,0.08625982,0.08524178,0.08413962,0.08295442,0.08168736,0.08033968,0.07891271,0.07740787,0.07582664,0.07417057,0.07244130,0.07064055,0.06877008,0.06683174,0.06482746,0.06275919,0.06062898,0.05843895,0.05619124,0.05388808,0.05153173,0.04912453,0.04666885,0.04416711,0.04162179,0.03903539,0.03641047,0.03374961,0.03105545,0.02833064,0.02557787,0.02279986,0.01999934,0.01717910,0.01434189,0.01149053,0.00862784,0.00575663,0.00287974,0.00000000
